"ident","iata_code","name","municipality","iso_country","iso_region"
"LFHM","MVV","Megève Altiport","Megève","FR","FR-ARA"
"LFHN","","Bellegarde-Vouvray Airfield","Valserhône, Ain","FR","FR-ARA"
"LFHO","OBS","Aubenas-South Ardèche Airport","Lanas, Ardèche","FR","FR-ARA"
"LFHP","LPY","Le Puy-Loudes Airfield","Chaspuzac, Haute-Loire","FR","FR-ARA"
"LFHQ","","Saint-Flour-Coltines Airfield","Saint-Flour/Coltines","FR","FR-ARA"
"LFHR","","Brioude Beaumont Airfield","Beaumont, Puy-de-Dôme","FR","FR-ARA"
"LFHS","","Bourg-Ceyzériat Airfield","Bourg/Ceyzériat","FR","FR-ARA"
"LFHT","","Ambert - Le Poyet Airfield","Ambert, Puy-de-Dôme","FR","FR-ARA"
"LFHU","AHZ","L'Alpe d'Huez - Henri Giraud Altiport","Huez, Isère","FR","FR-ARA"
"LFHV","","Villefranche-Tarare Airfield","Frontenas, Rhône","FR","FR-ARA"
"LFHW","","Belleville Villié Morgon Airfield","Belleville-en-Beaujolais, Rhône","FR","FR-ARA"
"LFHX","","Lapalisse - Périgny Airfield","","FR","FR-ARA"
"LFHY","","Moulins-Montbeugny Airfield","Toulon-sur-Allier","FR","FR-ARA"
"LFIB","","Aérodrome de Belvès Saint-Pardoux","","FR","FR-NAQ"
"LFID","","Aérodrome de Condom - Valence-sur-Baïse","","FR","FR-OCC"
"LFIF","","Saint-Affrique-Belmont Airfield","Belmont-sur-Rance, Aveyron","FR","FR-OCC"
"LFIG","","Cassagnes-Bégonhès Airfield","Cassagnes-Bégonhès","FR","FR-OCC"
"LFIH","","Chalais Airfield","","FR","FR-NAQ"
"LFIK","","Aérodrome de Ribérac-Tourette","Ribérac","FR","FR-NAQ"
"LFIL","","Rion Des Landes Airfield","","FR","FR-NAQ"
"LFIM","","Saint Gaudens Montréjeau Airfield","Clarac, Hautes-Pyrénées","FR","FR-OCC"
"LFIP","","Altiport de Peyresourde Balestas","","FR","FR-OCC"
"LFIR","","Revel Montgey Airfield","","FR","FR-OCC"
"LFIS","","Saint-Inglevert Aerodrome","Saint-Inglevert","FR","FR-HDF"
"LFIT","","Aérodrome de Toulouse Bourg-Saint-Bernard","","FR","FR-OCC"
"LFIV","","Aérodrome de Vendays-Montalivet","","FR","FR-NAQ"
"LFIX","","Itxassou Airfield","","FR","FR-NAQ"
"LFIY","","St Jean d'Angély Airfield","","FR","FR-NAQ"
"LFJA","","Chaumont-Semoutiers Airfield","Villiers-le-Sec, Haute-Marne","FR","FR-GES"
"LFJB","","Mauléon Airfield","Mauléon","FR","FR-NAQ"
"LFJC","","Clamecy-Rix Airfield","Clamecy, Nièvre","FR","FR-BFC"
"LFJD","","Corlier Altiport","","FR","FR-ARA"
"LFJE","","Altiport de La Motte Chalancon","","FR","FR-ARA"
"LFJF","","Aérodrome d'Aubenasson","","FR","FR-ARA"
"LFJH","","Aérodrome de Cazères - Palaminy","","FR","FR-OCC"
"LFJI","","Aérodrome de Marennes - Le Bournet","","FR","FR-NAQ"
"LFJL","ETZ","Metz-Nancy-Lorraine Airport","Goin","FR","FR-GES"
"LFJR","ANE","Angers Marcé airport","Angers","FR","FR-PDL"
"LFJS","","Soissons-Courmelles Airfield","Soissons, Aisne","FR","FR-HDF"
"LFJT","","Tours Le Louroux Airfield","Angers","FR","FR-CVL"
"LFJU","","Lurcy-Lévis Airfield","Lurcy-Lévis, Allier","FR","FR-ARA"
"LFJV","","Aérodrome de Lasclaveries","Lasclaveries","FR","FR-NAQ"
"LFJY","","Chambley airfield","Chambley-Bussières","FR","FR-GES"
"LFKA","","Albertville General Pierre Delachenal Airfield","Tournon","FR","FR-ARA"
"LFKB","BIA","Bastia-Poretta International airport","Bastia","FR","FR-COR"
"LFKC","CLY","Calvi Sainte Catherine Airport","Calvi","FR","FR-COR"
"LFKD","","Sollières Sardières Airfield","Val-Cenis","FR","FR-ARA"
"LFKE","","Saint-Jean-en-Royans Airfield","","FR","FR-ARA"
"LFKF","FSC","Figari Sud-Corse Airport","Figari","FR","FR-COR"
"LFKG","","Aérodrome de Ghisonaccia - Alzitone","GHISONACCIA","FR","FR-COR"
"LFKH","","St Jean D'avelanne Airfield","Figari/Sud Corse","FR","FR-ARA"
"LFKJ","AJA","Ajaccio Napoléon Bonaparte airport","Ajaccio","FR","FR-COR"
"LFKL","","Lyon Brindas Airfield","Brindas, Rhône","FR","FR-ARA"
"LFKM","","St Galmier Airfield","","FR","FR-ARA"
"LFKO","PRP","Propriano Airport","Propriano","FR","FR-COR"
"LFKP","","La Tour-de-Pin Airfield","Cessieu, Isère","FR","FR-ARA"
"LFKS","SOZ","Solenzara (BA 126) Air Base","Solenzara","FR","FR-COR"
"LFKT","","Aérodrome de Corte","Corte","FR","FR-COR"
"LFKX","MFX","Méribel Altiport","Les Allues","FR","FR-ARA"
"LFKY","","Belley-Peyrieu Airfield","Peyrieu, Ain","FR","FR-ARA"
"LFLA","AUF","Auxerre Branches airport","Auxerre","FR","FR-BFC"
"LFLB","CMF","Chambéry Aix les Bains airport","Chambéry","FR","FR-ARA"
"LFLC","CFE","Clermont-Ferrand Auvergne airport","Clermont-Ferrand","FR","FR-ARA"
"LFLD","BOU","Bourges airport","Bourges","FR","FR-CVL"
"LFLE","","Chambéry Challes-les-Eaux Airfield","Barby","FR","FR-ARA"
"LFLG","","Grenoble Le Versoud Airfield","Le Versoud, Isère","FR","FR-ARA"
"LFLH","","Chalon Champforgeuil Airfield","Châlon sur Saône","FR","FR-BFC"
"LFLI","","Annemasse Airfield","Annemasse","FR","FR-ARA"
"LFLJ","CVF","Courchevel Altiport","Saint-Bon","FR","FR-ARA"
"LFLL","LYS","Lyon Saint-Exupéry Airport","Colombier-Saugnieu, Rhône","FR","FR-ARA"
"LFLM","","Mâcon-Charnay Airfield","Charnay-lès-Mâcon, Saône-et-Loire","FR","FR-BFC"
"LFLN","SYT","Saint-Yan Airport","L'Hôpital-le-Mercier, Saône-et-Loire","FR","FR-BFC"
"LFLO","RNE","Roanne-Renaison Airport","Saint-Léger-sur-Roanne","FR","FR-ARA"
"LFLP","NCY","Annecy Meythet airport","Annecy","FR","FR-ARA"
"LFLQ","","Montélimar-Ancône Airfield","Montélimar, Drôme","FR","FR-ARA"
"LFLR","","Saint-Rambert-d'Albon Airfield","Albon, Drôme","FR","FR-ARA"
"LFLS","GNB","Grenoble Alpes Isère Airport","Grenoble","FR","FR-ARA"
"LFLT","","Montluçon-Domérat Airfield","Domérat, Allier","FR","FR-ARA"
"LFLU","VAF","Valence-Chabeuil Airport","Chabeuil, Drôme","FR","FR-ARA"
"LFLV","VHY","Vichy-Charmeil Airport","Charmeil, Allier","FR","FR-ARA"
"LFLW","AUR","Aurillac airport","Aurillac","FR","FR-ARA"
"LFLX","CHR","Châteauroux Déols airport","Châteauroux","FR","FR-CVL"
"LFLY","LYN","Lyon Bron Airport","Chassieu, Lyon","FR","FR-ARA"
"LFLZ","","Aérodrome de Feurs - Chambéon","","FR","FR-ARA"
"LFMA","","Aix Les Milles airport","Aix en Provence","FR","FR-PAC"
"LFMC","","Le Luc-Le Cannet Airfield","Le Cannet-des-Maures, Var","FR","FR-PAC"
"LFMD","CEQ","Cannes Mandelieu Airport","Cannes","FR","FR-PAC"
"LFME","","Nîmes Courbessac Airfield","Nîmes","FR","FR-OCC"
"LFMF","","Fayence-Tourrettes Airfield","Fayence, Var","FR","FR-PAC"
"LFMG","","Aérodrome de la Montagne Noire","Revel","FR","FR-OCC"
"LFMH","EBU","Saint-Étienne-Bouthéon Airport","Andrézieux-Bouthéon, Loire","FR","FR-ARA"
"LFMI","","Istres-Le Tubé Air Base","Istres, Bouches-du-Rhône","FR","FR-PAC"
"LFMK","CCF","Carcassonne Salvaza Airport","Carcassonne","FR","FR-OCC"
"LFML","MRS","Marseille Provence Airport","Marignane, Bouches-du-Rhône","FR","FR-PAC"
"LFMN","NCE","Nice-Côte d'Azur Airport","Nice, Alpes-Maritimes","FR","FR-PAC"
"LFMO","","Orange-Caritat (BA 115) Air Base","Orange, Vaucluse","FR","FR-PAC"
"LFMP","PGF","Perpignan-Rivesaltes (Llabanère) Airport","Perpignan/Rivesaltes","FR","FR-OCC"
"LFMQ","CTT","Le Castellet Airport","Le Castellet, Var","FR","FR-PAC"
"LFMR","BAE","Barcelonnette - Saint-Pons Airfield","Saint-Pons, Alpes-de-Haute-Provence","FR","FR-PAC"
"LFMS","","Aérodrome d'Alès Cévennes","Alès/Deaux","FR","FR-OCC"
"LFMT","MPL","Montpellier-Méditerranée Airport","Montpellier/Méditerranée","FR","FR-OCC"
"LFMU","BZR","Béziers Vias airport","Béziers","FR","FR-OCC"
"LFMV","AVN","Avignon Caumont airport","Avignon","FR","FR-PAC"
"LFMW","","Aérodrome de Castelnaudary-Villeneuve","Castelnaudary Villeneuve","FR","FR-OCC"
"LFMX","","Château-Arnoux-Saint-Auban Airfield","Château-Arnoux-Saint-Auban, Alpes-de-Haute-Provence","FR","FR-PAC"
"LFMY","","Salon-de-Provence (BA 701) Air Base","Salon","FR","FR-PAC"
"LFMZ","","Lézignan-Corbières Airfield","Lézignan-Corbières","FR","FR-OCC"
"LFNA","GAT","Gap-Tallard Airfield","Tallard, Hautes-Alpes","FR","FR-PAC"
"LFNB","MEN","Mende-Brenoux Airfield","Mende/Brénoux","FR","FR-OCC"
"LFNC","SCP","Mont-Dauphin Saint-Crépin Airfield","Saint-Crépin, Hautes-Alpes","FR","FR-PAC"
"LFNE","","Aérodrome d'Eyguières","","FR","FR-PAC"
"LFNF","","Vinon Airfield","Vinon-sur-Verdon, Var","FR","FR-PAC"
"LFNG","","Aérodrome de Montpellier - Candillargues","","FR","FR-OCC"
"LFNH","","Edgar Soumille Airfield","Carpentras, Vaucluse","FR","FR-PAC"
"LFNJ","","Aspres-sur-Buëch Airfield","Aspres-sur-Buëch, Hautes-Alpes","FR","FR-PAC"
"LFNL","","Aérodrome de Saint-Martin-de-Londres","","FR","FR-OCC"
"LFNO","","Florac Ste Enimie Airfield","","FR","FR-OCC"
"LFNQ","","Mont Louis La Quillane Airfield","","FR","FR-OCC"
"LFNR","","Berre-la-Fare Airfield","Berre-l'Étang, Bouches-du-Rhône","FR","FR-PAC"
"LFNS","","Sistéron-Vaumeilh Airfield","Vaumeilh, Alpes-de-Haute-Provence","FR","FR-PAC"
"LFNT","","Avignon-Pujaut Airfield","Pujaut, Gard","FR","FR-OCC"
"LFNU","","Uzès-Belvezet Airfield","Mont-Lozère-et-Goulet, Lozère","FR","FR-OCC"
"LFNV","","Valréas Visan Airfield","Visan","FR","FR-PAC"
"LFNW","","Puivert Airfield","","FR","FR-OCC"
"LFNX","","Bédarieux La Tour Airfield","","FR","FR-OCC"
"LFNZ","","Le Mazet De Romanin Airfield","","FR","FR-PAC"
"LFOA","","Avord (BA 702) Air Base","Avord","FR","FR-CVL"
"LFOB","BVA","Beauvais-Tillé airport","Beauvais","FR","FR-HDF"
"LFOC","","Châteaudun Airfield","Châteaudun, Eure-et-Loir","FR","FR-CVL"
"LFOD","","Aérodrome de Saumur - Saint-Florent","Saumur/Saint-Florent","FR","FR-PDL"
"LFOE","EVX","Évreux-Fauville (BA 105) Air Base","Fauville, Eure","FR","FR-NOR"
"LFOF","","Alençon-Valframbert Airfield","Alençon, Orne","FR","FR-NOR"
"LFOG","","Aérodrome de Flers Saint-Paul","Flers","FR","FR-NOR"
"LFOH","LEH","Le Havre-Octeville Airport","Le Havre","FR","FR-NOR"
"LFOI","","Abbeville-Buigny Baie de Somme Airfield","Buigny-Saint-Maclou","FR","FR-HDF"
"LFOJ","","Orléans-Bricy (BA 123) Air Base","Boulay-les-Barres, Loiret","FR","FR-CVL"
"LFOK","XCR","Chalons Vatry airport","Chalons en Champagne","FR","FR-GES"
"LFOL","","L'Aigle-Saint-Michel Airfield","Saint-Sulpice-sur-Risle, Orne","FR","FR-NOR"
"LFOM","","Lessay Airfield","Lessay, Basse-Normandie","FR","FR-NOR"
"LFON","","Dreux Vernouillet Airfield","Vernouillet, Yvelines","FR","FR-CVL"
"LFOO","LSO","Les Sables-d'Olonne Talmont Airport","Les Sables-d'Olonne","FR","FR-PDL"
"LFOP","URO","Rouen Vallée de Seine Airport","Boos","FR","FR-NOR"
"LFOQ","","Blois Le Breuil Airfield","Blois","FR","FR-CVL"
"LFOR","","Chartres-Métropole Airfield","Chartres, Eure-et-Loir","FR","FR-CVL"
"LFOS","","Saint-Valery-Vittefleur Airfield","Saint-Sylvain","FR","FR-NOR"
"LFOT","TUF","Tours Val de Loire Airport","Tours, Indre-et-Loire","FR","FR-CVL"
"LFOU","CET","Cholet Le Pontreau airfield","Cholet","FR","FR-PDL"
"LFOV","LVA","Laval-Entrammes Airport","Laval, Mayenne","FR","FR-PDL"
"LFOW","","Saint-Quentin-Roupy Airfield","Fontaine-lès-Clercs, Aisne","FR","FR-HDF"
"LFOX","","Étampes-Mondésir Airfield","Guillerval, Essonne","FR","FR-IDF"
"LFOY","","Havre-Saint-Romain-de-Colbosc Airfield","Gommerville","FR","FR-NOR"
"LFOZ","ORE","Orléans–Saint-Denis-de-l'Hôtel Airport","Saint-Denis-de-l'Hôtel, Loiret","FR","FR-CVL"
"LFPA","","Persan-Beaumont Airfield","Bernes-sur-Oise, Val-d'Oise","FR","FR-IDF"
"LFPB","LBG","Paris-Le Bourget International Airport","Paris","FR","FR-IDF"
"LFPC","CSF","Creil Air Base","Creil","FR","FR-HDF"
"LFPD","","Bernay-Saint-Martin Airfield","Bernay, Eure","FR","FR-NOR"
"LFPE","","Meaux-Esbly Airfield","Isles-lès-Villenoy, Seine-et-Marne","FR","FR-IDF"
"LFPF","","Beynes Thiverval Airfield","Beynes, Yvelines","FR","FR-IDF"
"LFPG","CDG","Charles de Gaulle International Airport","Paris (Roissy-en-France, Val-d'Oise)","FR","FR-IDF"
"LFPH","","Chelles-le-Pin Airfield","Chelles, Seine-et-Marne","FR","FR-IDF"
"LFPK","","Coulommiers-Voisins Aerodrome","Pommeuse, Seine-et-Marne","FR","FR-IDF"
"LFPL","","Lognes Emerainville Airfield","Lognes, Seine-et-Marne","FR","FR-IDF"
"LFPM","","Melun-Villaroche Airfield","Moissy-Cramayel, Seine-et-Marne","FR","FR-IDF"
"LFPN","TNF","Toussus-le-Noble Airport","Toussus-le-Noble, Yvelines","FR","FR-IDF"
"LFPO","ORY","Paris-Orly Airport","Paris (Orly, Val-de-Marne)","FR","FR-IDF"
"LFPP","","Le Plessis-Belleville Airfield","Le Plessis-Belleville","FR","FR-HDF"
"LFPQ","","Fontenay-Trésigny Aerodrome","Fontenay-Trésigny","FR","FR-IDF"
"LFPT","POX","Pontoise-Cormeilles Aerodrome","Cormeilles-en-Vexin, Val-d'Oise","FR","FR-IDF"
"LFPU","","Moret-Episy Airfield","Moret-Loing-et-Orvanne, Seine-et-Marne","FR","FR-IDF"
"LFPV","VIY","Vélizy-Villacoublay Air Base","Vélizy-Villacoublay, Yvelines","FR","FR-IDF"
"LFPX","","Chavenay-Villepreux Airfield","Chavenay, Yvelines","FR","FR-IDF"
"LFPZ","","Saint-Cyr-l'École Airport","Saint-Cyr-l'École, Yvelines","FR","FR-IDF"
"LFQ","","Linfen Yaomiao Airport","Linfen (Yaodu)","CN","CN-14"
"LFQA","","Reims-Prunay Airfield","Prunay, Marne","FR","FR-GES"
"LFQB","","Troyes-Barberey Airport","Barberey-Saint-Sulpice, Aube","FR","FR-GES"
"LFQC","","Lunéville-Croismare Airfield","Chanteheux","FR","FR-GES"
"LFQD","","Arras-Roclincourt Airfield","Saint-Laurent-Blangy","FR","FR-HDF"
"LFQE","","Lieutenant Étienne Mantoux Air Base","Rouvres-en-Woëvre","FR","FR-GES"
"LFQF","","Autun-Bellevue Airfield","Autun, Saône-et-Loire","FR","FR-BFC"
"LFQG","NVS","Nevers-Fourchambault Airport","Marzy, Nièvre","FR","FR-BFC"
"LFQH","","Châtillon-sur-Seine Airfield","Châtillon-sur-Seine","FR","FR-BFC"
"LFQJ","","Maubeuge-Élesmes Airfield","Vieux-Reng, Nord","FR","FR-HDF"
"LFQK","","Châlons - Écury-sur-Coole Airfield","Écury-sur-Coole","FR","FR-GES"
"LFQL","","Lens-Bénifontaine Airfield","Bénifontaine, Pas-de-Calais","FR","FR-HDF"
"LFQM","","Besançon La Vèze Airfield","Besançon","FR","FR-BFC"
"LFQN","","Saint-Omer Wizernes Airfield","Longuenesse, Pas-de-Calais","FR","FR-HDF"
"LFQO","","Marcq-en-Baroeul Airfield","Bondues","FR","FR-HDF"
"LFQP","","Phalsbourg-Bourscheid Air Base","Bourscheid","FR","FR-GES"
"LFQQ","LIL","Lille Airport","Lesquin","FR","FR-HDF"
"LFQS","","Vitry-en-Artois Airfield","Vitry-en-Artois, Pas-de-Calais","FR","FR-HDF"
"LFQT","HZB","Merville-Calonne Airport","Merville, Nord","FR","FR-HDF"
"LFQU","","Sarre-Union Airfield","Sarre-Union","FR","FR-GES"
"LFQV","","Charleville-Mézières Ardennes-Etienne Riché Airfield","Charleville-Mézières","FR","FR-GES"
"LFQW","","Vesoul-Frotey Airfield","Frotey-lès-Vesoul, Haute-Saône","FR","FR-BFC"
"LFQX","","Juvancourt Aerodrome","Juvancourt, Aube","FR","FR-GES"
"LFQY","","Saverne Steinbourg Airfield","Saverne","FR","FR-GES"
"LFQZ","","Dieuze-Guéblange Airfield","Gelucourt","FR","FR-GES"
"LFRB","BES","Brest Bretagne airport","Brest","FR","FR-BRE"
"LFRC","CER","Cherbourg Manche airport","Cherbourg","FR","FR-NOR"
"LFRD","DNR","Dinard Pleurtuit Saint-Malo airport","Dinard","FR","FR-BRE"
"LFRE","LBY","La Baule-Escoublac Airport","La Baule-Escoublac","FR","FR-PDL"
"LFRF","GFR","Granville Airport","Bréville-sur-Mer, Manche","FR","FR-NOR"
"LFRG","DOL","Deauville Normandie airport","Deauville","FR","FR-NOR"
"LFRH","LRT","Lorient South Brittany (Bretagne Sud) Airport","Lorient/Lann/Bihoué","FR","FR-BRE"
"LFRI","EDM","La Roche-sur-Yon Les Ajoncs Airport","La Roche-sur-Yon","FR","FR-PDL"
"LFRJ","LDV","Landivisiau Air Base","Landivisiau","FR","FR-BRE"
"LFRK","CFR","Caen Carpiquet airport","Caen","FR","FR-NOR"
"LFRL","","Lanvéoc-Poulmic Air Base","Lanvéoc/Poulmic","FR","FR-BRE"
"LFRM","LME","Le Mans-Arnage Airport","Le Mans, Sarthe","FR","FR-PDL"
"LFRN","RNS","Rennes-Saint-Jacques Airport","Saint-Jacques-de-la-Lande, Ille-et-Vilaine","FR","FR-BRE"
"LFRO","LAI","Lannion Airport","Lannion","FR","FR-BRE"
"LFRP","","Ploërmel Loyat Airfield","Rennes","FR","FR-BRE"
"LFRQ","UIP","Quimper-Cornouaille Airport","Quimper/Pluguffan","FR","FR-BRE"
"LFRS","NTE","Nantes Atlantique Airport","Nantes","FR","FR-PDL"
"LFRT","SBK","Saint-Brieuc-Armor Airport","Trémuson, Côtes-d'Armor","FR","FR-BRE"
"LFRU","MXN","Morlaix-Ploujean Airport","Morlaix/Ploujean","FR","FR-BRE"
"LFRV","VNE","Vannes-Meucon Airport","Vannes/Meucon","FR","FR-BRE"
"LFRW","","Avranches Le Val-Saint-Père Airfield","Le Val-Saint-Père, Manche","FR","FR-NOR"
"LFRZ","SNR","Saint-Nazaire-Montoir Airport","Saint-Nazaire/Montoir","FR","FR-PDL"
"LFSA","","Besançon-Thise Airfield","Thise","FR","FR-BFC"
"LFSB","BSL","EuroAirport Basel–Mulhouse–Freiburg","Bâle / Mulhouse","FR","FR-GES"
"LFSD","DIJ","Dijon Longvic airport","Dijon","FR","FR-BFC"
"LFSE","","Épinal Dogneville Airfield","Dogneville","FR","FR-GES"
"LFSG","EPL","Épinal Mirecourt Airport","Épinal","FR","FR-GES"
"LFSH","","Haguenau Airfield","Haguenau","FR","FR-GES"
"LFSI","","Saint-Dizier – Robinson Air Base","Saint-Dizier","FR","FR-GES"
"LFSJ","","Sédan Douzy Airfield","Douzy","FR","FR-GES"
"LFSK","","Vitry-le-François Vauclerc Airfield","Vauclerc","FR","FR-GES"
"LFSL","BVE","Brive Souillac airport","Brive","FR","FR-NAQ"
"LFSM","","Montbéliard-Courcelles Airfield","Courcelles-lès-Montbéliard","FR","FR-BFC"
"LFSN","ENC","Nancy-Essey Airport","Tomblaine, Meurthe-et-Moselle","FR","FR-GES"
"LFSO","","Nancy-Ochey (BA 133) Air Base","Thuilley-aux-Groseilles","FR","FR-GES"
"LFSP","","Pontarlier Airfield","Pontarlier, Doubs","FR","FR-BFC"
"LFSS","","Saint Sulpice des Landes","","FR","FR-BRE"
"LFST","SXB","Strasbourg Airport","Strasbourg","FR","FR-GES"
"LFSU","","Langres-Rolampont Airfield","Rolampont, Haute-Marne","FR","FR-GES"
"LFSV","","Pont-Saint-Vincent Airfield","Pont-Saint-Vincent, Meurthe-et-Moselle","FR","FR-GES"
"LFSW","","Épernay Plivot Airfield","Plivot, Marne","FR","FR-GES"
"LFSX","","Luxeuil-Saint-Sauveur (BA 116) Air Base","Saint-Sauveur","FR","FR-BFC"
"LFSY","","Cessey-Baigneux-les-Juffs Airfield","Baigneux-les-Juffs, Côte-d'Or","FR","FR-BFC"
"LFTF","","Cuers-Pierrefeu Airfield","Pierrefeu-du-Var, Var","FR","FR-PAC"
"LFTH","TLN","Toulon-Hyères Airport","Hyères, Var","FR","FR-PAC"
"LFTM","","Serres - La Bâtie-Montsaléon Airfield","","FR","FR-PAC"
"LFTN","","La Grand'combe Airfield","","FR","FR-OCC"
"LFTP","","Puimoisson Airfield","Puimoisson, Alpes de Haute-Provence","FR","FR-PAC"
"LFTQ","","Châteaubriant Pouancé Airfield","","FR","FR-PDL"
"LFTW","FNI","Nîmes-Arles-Camargue Airport","Nîmes/Garons","FR","FR-OCC"
"LFTZ","LTT","La Môle Airport","Saint-Tropez","FR","FR-PAC"
"LFVM","MQC","Miquelon Airport","Miquelon","PM","PM-ML"
"LFVP","FSP","Saint-Pierre Pointe-Blanche Airport","Saint-Pierre","PM","PM-SP"
"LFXA","","Ambérieu Air Base (BA 278)","Ambérieu","FR","FR-ARA"
"LFXB","","Saintes Thénac Airfield","","FR","FR-NAQ"
"LFXQ","","Coëtquidan Air Base","Guer","FR","FR-BRE"
"LFXU","","Les Mureaux Airfield","Les Mureaux, Yvelines","FR","FR-IDF"
"LFYG","","Cambrai Niergnies Airfield","Niergnies, Nord","FR","FR-HDF"
"LFYR","","Romorantin Pruniers Airbase","Gièvres, Loir-et-Cher","FR","FR-CVL"
"LFYS","","Ste Léocadie Airfield","","FR","FR-OCC"
"LFYV","","Yvetot Lucien Camu Airfield","Baons-le-Comte","FR","FR-NOR"
"LG54","","Tympaki Air Base","Crete Island","GR","GR-M"
"LG55","","Triodos Airfield","Triodos","GR","GR-J"
"LG56","","Olimpoi Aerodrome","Chios","GR","GR-K"
"LGAD","PYR","Andravida Air Base","Andravida","GR","GR-G"
"LGAL","AXD","Alexandroupoli Democritus Airport","Alexandroupolis","GR","GR-A"
"LGAV","ATH","Athens Eleftherios Venizelos International Airport","Spata-Artemida","GR","GR-I"
"LGAX","","Alexandria (Gidas) Airfield","Lianovergi","GR","GR-B"
"LGBL","VOL","Nea Anchialos National Airport","Nea Anchialos","GR","GR-E"
"LGE","LGE","Mulan Airport","Lake Gregory","AU","AU-WA"
"LGEL","","Elefsis Air Base","Elefsina","GR","GR-I"
"LGEP","","Epitalion Airfield","Pyrgos","GR","GR-G"
"LGHI","JKH","Chios Island National Airport","Chios Island","GR","GR-K"
"LGIK","JIK","Ikaria Airport","Ikaria Island","GR","GR-K"
"LGIO","IOA","Ioannina King Pyrrhus National Airport","Ioannina","GR","GR-D"
"LGIR","HER","Heraklion International Nikos Kazantzakis Airport","Heraklion","GR","GR-M"
"LGKA","KSO","Kastoria National Airport Aristotle","Argos Orestiko","GR","GR-C"
"LGKC","KIT","Kithira Airport","Kithira Island","GR","GR-I"
"LGKF","EFL","Kefallinia Airport","Kefallinia Island","GR","GR-F"
"LGKJ","KZS","Kastelorizo Airport","Kastelorizo Island","GR","GR-L"
"LGKL","KLX","Kalamata Airport","Kalamata","GR","GR-J"
"LGKM","","Kavala Amygdaleon Lydia Airfield","Amygdaleonas","GR","GR-A"
"LGKO","KGS","Kos International Airport ""Ippokratis""","Kos Island","GR","GR-L"
"LGKP","AOK","Karpathos Airport","Karpathos Island","GR","GR-L"
"LGKR","CFU","Corfu Ioannis Kapodistrias International Airport","Kerkyra (Corfu)","GR","GR-F"
"LGKS","KSJ","Kasos Airport","Kasos Island","GR","GR-L"
"LGKV","KVA","Kavala Alexander the Great International Airport","Kavala","GR","GR-A"
"LGKY","JKL","Kalymnos Airport","Kalymnos Island","GR","GR-L"
"LGKZ","KZI","Kozani National Airport Filippos","Kozani","GR","GR-C"
"LGLE","LRS","Leros Airport","Leros Island","GR","GR-L"
"LGLM","LXS","Limnos Airport","Limnos Island","GR","GR-K"
"LGLR","LRA","Larissa Air Base","Larissa","GR","GR-E"
"LGMG","","Megara Air Base","Megara","GR","GR-I"
"LGMK","JMK","Mykonos Island National Airport","Mykonos","GR","GR-L"
"LGML","MLO","Milos Airport","Milos Island","GR","GR-L"
"LGMT","MJT","Mytilene International Airport","Mytilene","GR","GR-K"
"LGNX","JNX","Naxos Island National Airport","Naxos","GR","GR-L"
"LGPA","PAS","Paros National Airport","Paros","GR","GR-L"
"LGPL","JTY","Astypalaia Airport","Astypalaia Island","GR","GR-L"
"LGPZ","PVK","Aktion National Airport","Preveza","GR","GR-D"
"LGRD","","Maritsa Air Base","Rhodes Island","GR","GR-L"
"LGRP","RHO","Rhodes International Airport ""Diagoras""","Rhodes","GR","GR-L"
"LGRS","","Logan Reserve Airport","","AU","AU-QLD"
"LGRX","GPA","Patras Araxos Agamemnon Airport","Patras","GR","GR-G"
"LGSA","CHQ","Chania International Airport","Souda","GR","GR-M"
"LGSD","","Sedes Air Base","Sedes","GR","GR-B"
"LGSK","JSI","Skiathos Island National Airport","Skiathos","GR","GR-E"
"LGSM","SMI","Samos Airport","Samos Island","GR","GR-K"
"LGSO","JSY","Syros Airport","Syros Island","GR","GR-L"
"LGSP","SPJ","Sparti Airfield","Sparti","GR","GR-J"
"LGSR","JTR","Santorini International Airport","Santorini Island","GR","GR-L"
"LGST","JSH","Sitia Airport","Crete Island","GR","GR-M"
"LGSY","SKU","Skiros Airport","Skiros Island","GR","GR-H"
"LGTG","","Tanagra Air Base","Tanagra","GR","GR-H"
"LGTP","","Tripolis Air Base","Trípoli","GR","GR-J"
"LGTS","SKG","Thessaloniki Macedonia International Airport","Thessaloniki","GR","GR-B"
"LGTT","","Tatoi Airport","Tatoi","GR","GR-I"
"LGZA","ZTH","Zakynthos International Airport Dionysios Solomos","Zakynthos","GR","GR-F"
"LH0","","Hertelendy Kastély Field","Kutas","HU","HU-SO"
"LHBC","","Békéscsaba Airfield","Békéscsaba","HU","HU-BE"
"LHBF","","Bükfördö Airfield","Bö","HU","HU-VA"
"LHBI","","Biharkeresztes Airfield","Biharkeresztes","HU","HU-HB"
"LHBO","","Bácsbokod Airfield","Bácsbokod","HU","HU-BK"
"LHBP","BUD","Budapest Liszt Ferenc International Airport","Budapest","HU","HU-BU"
"LHBS","","Budaörs Airfield","Budaörs","HU","HU-BU"
"LHCL","","Cegléd Airfield","Cegléd","HU","HU-PE"
"LHDC","DEB","Debrecen International Airport","Debrecen","HU","HU-HB"
"LHDK","","Dunakeszi Airfield","Dunakeszi","HU","HU-PE"
"LHDV","","Dunaújváros Airfield","Dunaújváros","HU","HU-FE"
"LHEM","","Esztergom Ernő Rubik Airfield","Esztergom","HU","HU-KE"
