"ident","iata_code","name","municipality","iso_country","iso_region"
"55GE","","Rostex Airport","Crandall","US","US-GA"
"55H","","Atlanta Airport","Atlanta","US","US-ID"
"55ID","","Spear Valley Airport","Sandpoint","US","US-ID"
"55KS","","Ringneck Ranch Airport","Tipton","US","US-KS"
"55LL","","Sky Soaring Airport","Union","US","US-IL"
"55ME","","HIghland View Field","Searsmont","US","US-ME"
"55MN","","Conley Field","Mora","US","US-MN"
"55MO","","Tightsqueeze Field","Jonesburg","US","US-MO"
"55MT","","Elk Meadow Airstrip","Hamilton","US","US-MT"
"55ND","","Pete's Port Airport","Killdeer","US","US-ND"
"55NM","","Burris Ranch #1 Airport","Belen","US","US-NM"
"55NR","","Fivepoints Field","Oakboro","US","US-NC"
"55NY","","Ridgeview Airport","Jamestown","US","US-NY"
"55OI","","Aero Flight Center Airport","East Palestine","US","US-OH"
"55OK","","Gilstrap Field","Inola","US","US-OK"
"55OL","","Higley Field","Guthrie","US","US-OK"
"55OR","","Muddy Creek Airport","Corvallis","US","US-OR"
"55PA","","Sency Airport","Treskow","US","US-PA"
"55S","","Packwood Airport","Packwood","US","US-WA"
"55T","","Eagles Aerodrome","Panhandle","US","US-TX"
"55TX","","Stonecipher Airport","Beaumont","US","US-TX"
"55UT","","Shipley Field","Tremonton","US","US-UT"
"55WA","","Wilkinson Ranch Airport","Yakima","US","US-WA"
"55WI","","Cranmoor Airstrip","Nekoosa","US","US-WI"
"55XS","","Frontier Airport","Brackettville","US","US-TX"
"56AK","","Bechtol Field","Wasilla","US","US-AK"
"56AL","","Beechwood Airpark","Athens","US","US-AL"
"56AZ","","Mauldin Airstrip","Tonopah","US","US-AZ"
"56CL","","Morris Ag Air SW Airport","Blythe","US","US-CA"
"56FD","","North American Farms Airport","Malone","US","US-FL"
"56FL","","Buchanan Airport","Jay","US","US-FL"
"56G","","Indian Creek Ranch Airport","Deckerville","US","US-MI"
"56IL","","Lee Creek Airport","Caledonia","US","US-IL"
"56IN","","Casad Industrial Park Airport","New Haven","US","US-IN"
"56IS","","Liannimal's Landing","Thomasboro","US","US-IL"
"56LA","","Old Hickory Ranch Airport","Keithville","US","US-LA"
"56LL","","Wade Airport","Waterman","US","US-IL"
"56ME","","Russell Field","Easton","US","US-ME"
"56MN","","Lothert's Farm Strip","Morton","US","US-MN"
"56NC","","Wheat Field","Tryon","US","US-NC"
"56NE","","Noble Field","Ravenna","US","US-NE"
"56NH","","Therriaults Landing Airport","Middleton","US","US-NH"
"56NY","","Maynard's Airport","Kendall","US","US-NY"
"56OG","","Horn Airport","Stayton","US","US-OR"
"56OH","","Richey Airport","Petersburg","US","US-OH"
"56OI","","Double S Farms Airport","Kipton","US","US-OH"
"56OK","","L D Airport","Mc Loud","US","US-OK"
"56PA","","Hoge Farm Airport","Tinicum","US","US-PA"
"56S","","Seaside Municipal Airport","Seaside","US","US-OR"
"56TS","","Elgin Intracontinental Airport","Elgin","US","US-TX"
"56TX","","Anchorage Farm Field","Warrenton","US","US-TX"
"56WI","","Jaks Field","Mosinee","US","US-WI"
"56WV","","Cheat River Island Airport","Rowlesburg","US","US-WV"
"57AL","","Baswell Airport","Loxley","US","US-AL"
"57AZ","","La Cholla Airpark","Oro Valley","US","US-AZ"
"57B","","Islesboro Airport","Islesboro","US","US-ME"
"57CL","","Boron Airstrip","Boron","US","US-CA"
"57CN","","Van Vleck Airport","Rancho Murieta","US","US-CA"
"57D","","Ray Community Airport","Ray","US","US-MI"
"57FA","","Lake X Airport","St Cloud","US","US-FL"
"57GA","","Blue Ridge Skyport Airport","Blue Ridge","US","US-GA"
"57II","","Reimer Aerodrome","Jamestown","US","US-IN"
